-,-,-
--start---
46, -17, 1023
40, -20, 982
18, -25, 1026
2, -87, 986
44, -187, 1008
43, -225, 989
43, -225, 989
48, -175, 996
8, -103, 998
41, -109, 1000
48, -187, 990
52, -209, 1011
69, -208, 989
69, -208, 989
53, -187, 998
54, -207, 995
56, -296, 1012
80, -394, 985
-,-,-
24, 175, 1062
-6, 245, 929
-24, 154, 1021
26, 150, 986
10, 244, 999
10, 244, 999
16, 264, 1017
64, 237, 994
59, 185, 994
69, 96, 993
69, 96, 993
62, 118, 1010
49, 72, 972
59, -26, 990
59, -26, 990
21, -81, 1009
12, -58, 1031
24, -100, 984
3, -85, 990
0, -11, 981
0, -11, 981
29, -82, 1001
69, -200, 973
44, -212, 986
69, -256, 1013
69, -256, 1013
70, -359, 987
34, -368, 1009
73, -372, 1000
117, -427, 994
-,-,-
9, 188, 1006
9, 188, 1006
18, 124, 982
30, 193, 1010
19, 253, 1024
50, 119, 979
50, 119, 979
65, 80, 1013
32, 106, 997
52, 134, 983
74, 53, 1017
74, 53, 1017
56, 30, 1008
60, -52, 1000
33, -101, 1000
35, -73, 1003
35, -73, 1003
11, -88, 1001
58, -164, 993
34, -242, 982
39, -279, 1026
73, -301, 971
50, -350, 1015
50, -350, 1015
82, -392, 993
57, -383, 988
69, -296, 990
42, -61, 986
158, -218, 1001
-,-,-
77, 115, 1003
35, 222, 1003
-8, 367, 972
-8, 367, 972
1, 289, 951
80, 62, 1017
91, -113, 1002
35, -134, 999
35, -134, 999
26, -69, 991
-7, -71, 996
38, -69, 1005
21, -111, 975
-,-,-
1, 72, 1006
41, 92, 990
41, 92, 990
-1, 251, 1021
9, 245, 976
41, 159, 1017
41, 159, 1017
0, 179, 1013
26, 136, 994
46, 160, 995
51, 77, 992
51, 77, 992
51, 8, 999
27, -54, 1022
44, -75, 973
44, -75, 973
35, -66, 975
31, -178, 1022
70, -300, 990
67, -327, 984
45, -361, 1017
60, -361, 985
60, -421, 985
51, -490, 1003
120, -427, 997
72, -105, 994
-,-,-
73, 118, 1027
52, 153, 973
28, 86, 1010
23, 132, 986
23, 132, 986
-24, 182, 1015
11, 156, 996
3, 141, 990
30, 138, 1018
30, 138, 1018
2, 161, 996
28, 164, 1015
48, 218, 1001
74, 157, 997
74, 157, 997
